pageview_mobile_views,pagecount_mobile_views,pageview_desktop_views,pagecount_desktop_views,pagecount_all_views,pageview_all_views,year,month
3288755294.0,3254472695.0,4376666686.0,5229226022.0,8483698717.0,7665421980.0,2015,7
3302333038.0,3268487582.0,4332482183.0,5035534449.0,8304022031.0,7634815221.0,2015,8
3170203333.0,3172429827.0,4485491704.0,5409631355.0,8582061182.0,7655695037.0,2015,9
3268499132.0,3246082505.0,4477532755.0,5535704471.0,8781786976.0,7746031887.0,2015,10
3236601070.0,3218234512.0,4287720220.0,5296956116.0,8515190628.0,7524321290.0,2015,11
3376275307.0,3387411863.0,4100012037.0,5264446173.0,8651858036.0,7476287344.0,2015,12
3717836846.0,3739628742.0,4436179457.0,5569632502.0,9309261244.0,8154016303.0,2016,1
3334862272.0,3333231392.0,4250997185.0,5347709361.0,8680940753.0,7585859457.0,2016,2
3386684191.0,3419853636.0,4286590426.0,5407676056.0,8827529692.0,7673274617.0,2016,3
3258764002.0,3301385124.0,4149383857.0,5572235399.0,8873620523.0,7408147859.0,2016,4
3395033236.0,3418435805.0,4191778094.0,5330532334.0,8748968139.0,7586811330.0,2016,5
3354790945.0,3372618063.0,3888839711.0,4975092447.0,8347710510.0,7243630656.0,2016,6
3496573762.0,3500661121.0,4337865827.0,5363966439.0,8864627560.0,7834439589.0,2016,7
3515819303.0,480041296.0,4695046216.0,913675893.0,1393717189.0,8210865519.0,2016,8
3393285781.0,,4135006498.0,,,7528292279.0,2016,9
3509283891.0,,4361737690.0,,,7871021581.0,2016,10
3591044925.0,,4392068236.0,,,7983113161.0,2016,11
3776543855.0,,4209608578.0,,,7986152433.0,2016,12
4231961542.0,,4521980398.0,,,8753941940.0,2017,1
3711761399.0,,4026702163.0,,,7738463562.0,2017,2
3903493989.0,,4319971902.0,,,8223465891.0,2017,3
3639623119.0,,3951456992.0,,,7591080111.0,2017,4
3686687720.0,,4187870579.0,,,7874558299.0,2017,5
3519383193.0,,3604550997.0,,,7123934190.0,2017,6
3725059253.0,,3565444544.0,,,7290503797.0,2017,7
3621406302.0,,3575572313.0,,,7196978615.0,2017,8
3531604369.0,,3547447892.0,,,7079052261.0,2017,9
3673120542.0,,3907651639.0,,,7580772181.0,2017,10
3670012061.0,,3816060923.0,,,7486072984.0,2017,11
3830136304.0,,3640391096.0,,,7470527400.0,2017,12
4259282371.0,,4111833689.0,,,8371116060.0,2018,1
3725680728.0,,3634653694.0,,,7360334422.0,2018,2
4049874257.0,,3965271925.0,,,8015146182.0,2018,3
3927398111.0,,3762955419.0,,,7690353530.0,2018,4
4089188522.0,,3675652396.0,,,7764840918.0,2018,5
3977766741.0,,3278649434.0,,,7256416175.0,2018,6
4266113752.0,,3457051589.0,,,7723165341.0,2018,7
4187362161.0,,3399130789.0,,,7586492950.0,2018,8
3977120244.0,,3433832231.0,,,7410952475.0,2018,9
4073789753.0,,3640606578.0,,,7714396331.0,2018,10
4033380040.0,,3448616562.0,,,7481996602.0,2018,11
4289054166.0,,3379686909.0,,,7668741075.0,2018,12
4597597181.0,,3616017826.0,,,8213615007.0,2019,1
4018109995.0,,3244921935.0,,,7263031930.0,2019,2
4407290322.0,,3439386600.0,,,7846676922.0,2019,3
4261664166.0,,3330234244.0,,,7591898410.0,2019,4
4413766230.0,,3364959217.0,,,7778725447.0,2019,5
4285985271.0,,2986618238.0,,,7272603509.0,2019,6
4557266440.0,,3140657554.0,,,7697923994.0,2019,7
4531756543.0,,2979881198.0,,,7511637741.0,2019,8
4437958209.0,,3061362632.0,,,7499320841.0,2019,9
4506591862.0,,3588403486.0,,,8094995348.0,2019,10
4471241664.0,,3252465442.0,,,7723707106.0,2019,11
4554269292.0,,3097051994.0,,,7651321286.0,2019,12
4832149630.0,,3440480235.0,,,8272629865.0,2020,1
4418801212.0,,3176520359.0,,,7595321571.0,2020,2
4686270555.0,,3412498274.0,,,8098768829.0,2020,3
5505741941.0,,3798372613.0,,,9304114554.0,2020,4
5231700095.0,,3078093615.0,,,8309793710.0,2020,5
